,DC,Fixed_Den_Pitt,Fixed_Plant_Const,From Camden,From Modesto,Number of DCs,cost,min_time
1,Atlanta,FALSE,TRUE,0,0,2,12250392.94,5
1,Charleston,FALSE,TRUE,0,0,2,12250392.94,5
1,Charlotte,FALSE,TRUE,0,0,2,12250392.94,5
1,Chattanooga,FALSE,TRUE,0,0,2,12250392.94,5
1,Chicago,FALSE,TRUE,0,0,2,12250392.94,5
1,Cincinnati,FALSE,TRUE,0,0,2,12250392.94,5
1,Dallas,FALSE,TRUE,0,0,2,12250392.94,5
1,Denver,FALSE,TRUE,0,4665044,2,12250392.94,5
1,Greenville,FALSE,TRUE,0,0,2,12250392.94,5
1,Indianapolis,FALSE,TRUE,9000000,3389645,2,12250392.94,5
1,Knoxville,FALSE,TRUE,0,0,2,12250392.94,5
1,Louisville,FALSE,TRUE,0,0,2,12250392.94,5
1,Memphis,FALSE,TRUE,0,0,2,12250392.94,5
1,Nashville,FALSE,TRUE,0,0,2,12250392.94,5
1,Pittsburgh,FALSE,TRUE,0,0,2,12250392.94,5
1,Atlanta,FALSE,TRUE,0,0,3,11966625.87,5
1,Charleston,FALSE,TRUE,0,0,3,11966625.87,5
1,Charlotte,FALSE,TRUE,0,0,3,11966625.87,5
1,Chattanooga,FALSE,TRUE,0,0,3,11966625.87,5
1,Chicago,FALSE,TRUE,0,0,3,11966625.87,5
1,Cincinnati,FALSE,TRUE,0,0,3,11966625.87,5
1,Dallas,FALSE,TRUE,0,4708485,3,11966625.87,5
1,Denver,FALSE,TRUE,0,2846723,3,11966625.87,5
1,Greenville,FALSE,TRUE,0,0,3,11966625.87,5
1,Indianapolis,FALSE,TRUE,9000000,499481,3,11966625.87,5
1,Knoxville,FALSE,TRUE,0,0,3,11966625.87,5
1,Louisville,FALSE,TRUE,0,0,3,11966625.87,5
1,Memphis,FALSE,TRUE,0,0,3,11966625.87,5
1,Nashville,FALSE,TRUE,0,0,3,11966625.87,5
1,Pittsburgh,FALSE,TRUE,0,0,3,11966625.87,5
1,Atlanta,FALSE,TRUE,0,0,4,11739513.06,5
1,Charleston,FALSE,TRUE,0,0,4,11739513.06,5
1,Charlotte,FALSE,TRUE,0,0,4,11739513.06,5
1,Chattanooga,FALSE,TRUE,0,0,4,11739513.06,5
1,Chicago,FALSE,TRUE,0,0,4,11739513.06,5
1,Cincinnati,FALSE,TRUE,0,0,4,11739513.06,5
1,Dallas,FALSE,TRUE,0,3667652,4,11739513.06,5
1,Denver,FALSE,TRUE,0,2881440,4,11739513.06,5
1,Greenville,FALSE,TRUE,4812078,0,4,11739513.06,5
1,Indianapolis,FALSE,TRUE,4187922,1505597,4,11739513.06,5
1,Knoxville,FALSE,TRUE,0,0,4,11739513.06,5
1,Louisville,FALSE,TRUE,0,0,4,11739513.06,5
1,Memphis,FALSE,TRUE,0,0,4,11739513.06,5
1,Nashville,FALSE,TRUE,0,0,4,11739513.06,5
1,Pittsburgh,FALSE,TRUE,0,0,4,11739513.06,5
